event_id,user_id,session_id,event_timestamp,event_name,session_duration_sec,feature_used
evt_1,usr_000001,sess_913346cd20,2026-07-31 03:07:31,app_open,15,Splash_Screen
evt_2,usr_000002,sess_27338da0d3,2026-08-08 05:15:30,app_open,15,Splash_Screen
evt_3,usr_000002,sess_27338da0d3,2026-08-08 05:16:03,signup_initiated,40,Auth_Modal
evt_4,usr_000002,sess_27338da0d3,2026-08-08 05:17:22,signup_completed,75,Auth_Modal
evt_5,usr_000002,sess_27338da0d3,2026-08-08 05:18:15,kyc_initiated,110,Identity_Verification
evt_6,usr_000002,sess_27338da0d3,2026-08-08 05:19:55,kyc_completed,240,Identity_Verification
evt_7,usr_000003,sess_8f8a2d4dd9,2026-08-13 13:23:09,app_open,15,Splash_Screen
evt_8,usr_000003,sess_8f8a2d4dd9,2026-08-13 13:23:40,signup_initiated,40,Auth_Modal
evt_9,usr_000003,sess_8f8a2d4dd9,2026-08-13 13:24:45,signup_completed,75,Auth_Modal
evt_10,usr_000003,sess_8f8a2d4dd9,2026-08-13 13:25:07,kyc_initiated,110,Identity_Verification
evt_11,usr_000003,sess_8f8a2d4dd9,2026-08-13 13:26:43,kyc_completed,240,Identity_Verification
evt_12,usr_000003,sess_8f8a2d4dd9,2026-08-13 13:28:17,first_core_action,320,Core_Dashboard
evt_13,usr_000003,sess_207b800bd4,2026-08-14 18:45:09,app_open,18,Home_Feed
evt_14,usr_000003,sess_207b800bd4,2026-08-14 18:48:01,repeat_action,210,Feature_Usage
evt_15,usr_000003,sess_f29f095c47,2026-08-17 01:44:09,app_open,18,Home_Feed
evt_16,usr_000003,sess_f29f095c47,2026-08-17 01:46:38,repeat_action,210,Feature_Usage
evt_17,usr_000003,sess_fa202d29c1,2026-08-20 21:53:09,app_open,18,Home_Feed
evt_18,usr_000003,sess_fa202d29c1,2026-08-20 21:55:04,repeat_action,210,Feature_Usage
evt_19,usr_000004,sess_dcbbdd9459,2026-08-04 03:54:41,app_open,15,Splash_Screen
evt_20,usr_000004,sess_dcbbdd9459,2026-08-04 03:54:51,signup_initiated,40,Auth_Modal
evt_21,usr_000005,sess_8a20769eca,2026-08-13 00:32:48,app_open,15,Splash_Screen
evt_22,usr_000005,sess_8a20769eca,2026-08-13 00:33:00,signup_initiated,40,Auth_Modal
evt_23,usr_000006,sess_a5e43cd278,2026-08-10 15:06:14,app_open,15,Splash_Screen
evt_24,usr_000006,sess_a5e43cd278,2026-08-10 15:06:49,signup_initiated,40,Auth_Modal
evt_25,usr_000007,sess_5c95f6b729,2026-07-25 12:03:25,app_open,15,Splash_Screen
evt_26,usr_000007,sess_5c95f6b729,2026-07-25 12:03:54,signup_initiated,40,Auth_Modal
evt_27,usr_000007,sess_5c95f6b729,2026-07-25 12:04:54,signup_completed,75,Auth_Modal
evt_28,usr_000007,sess_5c95f6b729,2026-07-25 12:05:30,kyc_initiated,110,Identity_Verification
evt_29,usr_000007,sess_5c95f6b729,2026-07-25 12:07:44,kyc_completed,240,Identity_Verification
evt_30,usr_000007,sess_5c95f6b729,2026-07-25 12:08:32,first_core_action,320,Core_Dashboard
evt_31,usr_000007,sess_8262f82025,2026-07-28 21:12:25,app_open,18,Home_Feed
evt_32,usr_000007,sess_8262f82025,2026-07-28 21:14:40,repeat_action,210,Feature_Usage
evt_33,usr_000007,sess_299fe49f20,2026-08-01 16:04:25,app_open,18,Home_Feed
evt_34,usr_000007,sess_299fe49f20,2026-08-01 16:06:55,repeat_action,210,Feature_Usage
evt_35,usr_000007,sess_1320c57750,2026-08-08 13:03:25,app_open,18,Home_Feed
evt_36,usr_000007,sess_1320c57750,2026-08-08 13:04:39,repeat_action,210,Feature_Usage
evt_37,usr_000008,sess_4cd2ae4b2e,2026-06-25 01:43:04,app_open,15,Splash_Screen
evt_38,usr_000008,sess_4cd2ae4b2e,2026-06-25 01:43:37,signup_initiated,40,Auth_Modal
evt_39,usr_000008,sess_4cd2ae4b2e,2026-06-25 01:44:37,signup_completed,75,Auth_Modal
evt_40,usr_000009,sess_28328727e5,2026-07-15 00:49:00,app_open,15,Splash_Screen
evt_41,usr_000009,sess_28328727e5,2026-07-15 00:49:34,signup_initiated,40,Auth_Modal
evt_42,usr_000009,sess_28328727e5,2026-07-15 00:50:26,signup_completed,75,Auth_Modal
evt_43,usr_000010,sess_b4fd350442,2026-08-23 11:22:36,app_open,15,Splash_Screen
evt_44,usr_000011,sess_cfad29591b,2026-07-18 09:17:54,app_open,15,Splash_Screen
evt_45,usr_000011,sess_cfad29591b,2026-07-18 09:18:35,signup_initiated,40,Auth_Modal
evt_46,usr_000011,sess_cfad29591b,2026-07-18 09:19:49,signup_completed,75,Auth_Modal
evt_47,usr_000011,sess_cfad29591b,2026-07-18 09:20:22,kyc_initiated,110,Identity_Verification
evt_48,usr_000011,sess_cfad29591b,2026-07-18 09:23:18,kyc_completed,240,Identity_Verification
evt_49,usr_000012,sess_2a5338297b,2026-06-30 17:09:06,app_open,15,Splash_Screen
evt_50,usr_000012,sess_2a5338297b,2026-06-30 17:09:48,signup_initiated,40,Auth_Modal
evt_51,usr_000012,sess_2a5338297b,2026-06-30 17:10:39,signup_completed,75,Auth_Modal
evt_52,usr_000012,sess_2a5338297b,2026-06-30 17:11:15,kyc_initiated,110,Identity_Verification
evt_53,usr_000013,sess_80a821493a,2026-06-20 14:30:59,app_open,15,Splash_Screen
evt_54,usr_000013,sess_80a821493a,2026-06-20 14:31:22,signup_initiated,40,Auth_Modal
evt_55,usr_000014,sess_0065e235b9,2026-08-29 15:01:20,app_open,15,Splash_Screen
evt_56,usr_000014,sess_0065e235b9,2026-08-29 15:01:47,signup_initiated,40,Auth_Modal
evt_57,usr_000015,sess_2d1bd354f9,2026-06-20 14:25:05,app_open,15,Splash_Screen
evt_58,usr_000015,sess_2d1bd354f9,2026-06-20 14:25:43,signup_initiated,40,Auth_Modal
evt_59,usr_000016,sess_e779fe3121,2026-08-07 19:00:02,app_open,15,Splash_Screen
evt_60,usr_000016,sess_e779fe3121,2026-08-07 19:00:41,signup_initiated,40,Auth_Modal
evt_61,usr_000017,sess_61131abe7a,2026-06-26 13:38:37,app_open,15,Splash_Screen
evt_62,usr_000017,sess_61131abe7a,2026-06-26 13:39:18,signup_initiated,40,Auth_Modal
evt_63,usr_000017,sess_61131abe7a,2026-06-26 13:40:37,signup_completed,75,Auth_Modal
evt_64,usr_000017,sess_61131abe7a,2026-06-26 13:41:00,kyc_initiated,110,Identity_Verification
evt_65,usr_000017,sess_61131abe7a,2026-06-26 13:43:23,kyc_completed,240,Identity_Verification
evt_66,usr_000018,sess_b4bb791fc9,2026-08-24 23:46:08,app_open,15,Splash_Screen
evt_67,usr_000018,sess_b4bb791fc9,2026-08-24 23:46:27,signup_initiated,40,Auth_Modal
evt_68,usr_000019,sess_1a8f93ff19,2026-08-04 02:35:23,app_open,15,Splash_Screen
evt_69,usr_000019,sess_1a8f93ff19,2026-08-04 02:35:41,signup_initiated,40,Auth_Modal
evt_70,usr_000019,sess_1a8f93ff19,2026-08-04 02:36:45,signup_completed,75,Auth_Modal
evt_71,usr_000020,sess_9ff0fdb129,2026-07-19 22:48:07,app_open,15,Splash_Screen
evt_72,usr_000020,sess_9ff0fdb129,2026-07-19 22:48:45,signup_initiated,40,Auth_Modal
evt_73,usr_000020,sess_9ff0fdb129,2026-07-19 22:49:26,signup_completed,75,Auth_Modal
evt_74,usr_000021,sess_277f141655,2026-07-07 14:24:07,app_open,15,Splash_Screen
evt_75,usr_000021,sess_277f141655,2026-07-07 14:24:39,signup_initiated,40,Auth_Modal
evt_76,usr_000021,sess_277f141655,2026-07-07 14:25:57,signup_completed,75,Auth_Modal
evt_77,usr_000021,sess_277f141655,2026-07-07 14:26:48,kyc_initiated,110,Identity_Verification
evt_78,usr_000021,sess_277f141655,2026-07-07 14:28:43,kyc_completed,240,Identity_Verification
evt_79,usr_000021,sess_277f141655,2026-07-07 14:29:20,first_core_action,320,Core_Dashboard
evt_80,usr_000021,sess_f757f4ad05,2026-07-09 02:22:07,app_open,18,Home_Feed
evt_81,usr_000021,sess_f757f4ad05,2026-07-09 02:24:47,repeat_action,210,Feature_Usage
evt_82,usr_000021,sess_c500dfd59b,2026-07-14 15:43:07,app_open,18,Home_Feed
evt_83,usr_000021,sess_c500dfd59b,2026-07-14 15:46:11,repeat_action,210,Feature_Usage
evt_84,usr_000021,sess_9f1413929f,2026-07-21 19:03:07,app_open,18,Home_Feed
evt_85,usr_000021,sess_9f1413929f,2026-07-21 19:05:40,repeat_action,210,Feature_Usage
evt_86,usr_000022,sess_91c74fa451,2026-07-01 13:36:56,app_open,15,Splash_Screen
evt_87,usr_000022,sess_91c74fa451,2026-07-01 13:37:39,signup_initiated,40,Auth_Modal
evt_88,usr_000022,sess_91c74fa451,2026-07-01 13:38:25,signup_completed,75,Auth_Modal
evt_89,usr_000023,sess_5de5af6bd0,2026-08-12 05:53:39,app_open,15,Splash_Screen
evt_90,usr_000023,sess_5de5af6bd0,2026-08-12 05:54:22,signup_initiated,40,Auth_Modal
evt_91,usr_000023,sess_5de5af6bd0,2026-08-12 05:55:21,signup_completed,75,Auth_Modal
evt_92,usr_000024,sess_b8cb63d3f0,2026-06-08 10:48:52,app_open,15,Splash_Screen
evt_93,usr_000024,sess_b8cb63d3f0,2026-06-08 10:49:19,signup_initiated,40,Auth_Modal
evt_94,usr_000024,sess_b8cb63d3f0,2026-06-08 10:50:16,signup_completed,75,Auth_Modal
evt_95,usr_000024,sess_b8cb63d3f0,2026-06-08 10:50:55,kyc_initiated,110,Identity_Verification
evt_96,usr_000024,sess_b8cb63d3f0,2026-06-08 10:52:26,kyc_completed,240,Identity_Verification
evt_97,usr_000024,sess_b8cb63d3f0,2026-06-08 10:53:41,first_core_action,320,Core_Dashboard
evt_98,usr_000024,sess_747d384cac,2026-06-11 15:26:52,app_open,18,Home_Feed
evt_99,usr_000024,sess_747d384cac,2026-06-11 15:28:43,repeat_action,210,Feature_Usage
evt_100,usr_000024,sess_c95baaea23,2026-06-22 15:40:52,app_open,18,Home_Feed
evt_101,usr_000024,sess_c95baaea23,2026-06-22 15:43:32,repeat_action,210,Feature_Usage
evt_102,usr_000025,sess_66d3e6afe6,2026-08-20 23:09:35,app_open,15,Splash_Screen
evt_103,usr_000025,sess_66d3e6afe6,2026-08-20 23:10:01,signup_initiated,40,Auth_Modal
evt_104,usr_000026,sess_88144922aa,2026-08-12 08:31:43,app_open,15,Splash_Screen
evt_105,usr_000026,sess_88144922aa,2026-08-12 08:32:12,signup_initiated,40,Auth_Modal
evt_106,usr_000026,sess_88144922aa,2026-08-12 08:33:04,signup_completed,75,Auth_Modal
evt_107,usr_000026,sess_88144922aa,2026-08-12 08:34:03,kyc_initiated,110,Identity_Verification
evt_108,usr_000026,sess_88144922aa,2026-08-12 08:36:03,kyc_completed,240,Identity_Verification
evt_109,usr_000026,sess_88144922aa,2026-08-12 08:37:25,first_core_action,320,Core_Dashboard
evt_110,usr_000026,sess_30530e1a66,2026-08-15 11:56:43,app_open,18,Home_Feed
evt_111,usr_000026,sess_30530e1a66,2026-08-15 11:59:13,repeat_action,210,Feature_Usage
evt_112,usr_000027,sess_55f87b6541,2026-08-24 01:03:12,app_open,15,Splash_Screen
evt_113,usr_000027,sess_55f87b6541,2026-08-24 01:03:32,signup_initiated,40,Auth_Modal
evt_114,usr_000027,sess_55f87b6541,2026-08-24 01:04:45,signup_completed,75,Auth_Modal
evt_115,usr_000028,sess_e73ff13e50,2026-07-13 08:27:45,app_open,15,Splash_Screen
evt_116,usr_000028,sess_e73ff13e50,2026-07-13 08:28:29,signup_initiated,40,Auth_Modal
evt_117,usr_000029,sess_a800420bfd,2026-06-29 04:56:35,app_open,15,Splash_Screen
evt_118,usr_000029,sess_a800420bfd,2026-06-29 04:57:08,signup_initiated,40,Auth_Modal
evt_119,usr_000029,sess_a800420bfd,2026-06-29 04:58:37,signup_completed,75,Auth_Modal
evt_120,usr_000030,sess_6a06050058,2026-08-19 07:55:52,app_open,15,Splash_Screen
evt_121,usr_000031,sess_bafd4f5436,2026-08-20 09:40:39,app_open,15,Splash_Screen
evt_122,usr_000031,sess_bafd4f5436,2026-08-20 09:41:07,signup_initiated,40,Auth_Modal
evt_123,usr_000031,sess_bafd4f5436,2026-08-20 09:42:31,signup_completed,75,Auth_Modal
evt_124,usr_000032,sess_2ef092224b,2026-07-01 15:02:41,app_open,15,Splash_Screen
evt_125,usr_000032,sess_2ef092224b,2026-07-01 15:03:04,signup_initiated,40,Auth_Modal
evt_126,usr_000032,sess_2ef092224b,2026-07-01 15:03:44,signup_completed,75,Auth_Modal
evt_127,usr_000033,sess_c961eb6284,2026-07-28 14:19:39,app_open,15,Splash_Screen
evt_128,usr_000033,sess_c961eb6284,2026-07-28 14:20:10,signup_initiated,40,Auth_Modal
evt_129,usr_000033,sess_c961eb6284,2026-07-28 14:20:51,signup_completed,75,Auth_Modal
evt_130,usr_000033,sess_c961eb6284,2026-07-28 14:21:27,kyc_initiated,110,Identity_Verification
evt_131,usr_000033,sess_c961eb6284,2026-07-28 14:24:13,kyc_completed,240,Identity_Verification
evt_132,usr_000033,sess_c961eb6284,2026-07-28 14:26:01,first_core_action,320,Core_Dashboard
evt_133,usr_000033,sess_5ca69d0595,2026-08-01 00:00:39,app_open,18,Home_Feed
evt_134,usr_000033,sess_5ca69d0595,2026-08-01 00:02:24,repeat_action,210,Feature_Usage
evt_135,usr_000033,sess_434498d8c8,2026-08-11 19:24:39,app_open,18,Home_Feed
evt_136,usr_000033,sess_434498d8c8,2026-08-11 19:26:27,repeat_action,210,Feature_Usage
evt_137,usr_000034,sess_268f8c6a5b,2026-07-02 00:34:21,app_open,15,Splash_Screen
evt_138,usr_000034,sess_268f8c6a5b,2026-07-02 00:34:38,signup_initiated,40,Auth_Modal
evt_139,usr_000034,sess_268f8c6a5b,2026-07-02 00:35:58,signup_completed,75,Auth_Modal
evt_140,usr_000034,sess_268f8c6a5b,2026-07-02 00:36:46,kyc_initiated,110,Identity_Verification
evt_141,usr_000034,sess_268f8c6a5b,2026-07-02 00:39:29,kyc_completed,240,Identity_Verification
evt_142,usr_000034,sess_268f8c6a5b,2026-07-02 00:40:25,first_core_action,320,Core_Dashboard
evt_143,usr_000034,sess_68c13f9106,2026-07-03 11:08:21,app_open,18,Home_Feed
evt_144,usr_000034,sess_68c13f9106,2026-07-03 11:09:20,repeat_action,210,Feature_Usage
evt_145,usr_000034,sess_39e424de08,2026-07-05 02:33:21,app_open,18,Home_Feed
evt_146,usr_000034,sess_39e424de08,2026-07-05 02:34:48,repeat_action,210,Feature_Usage
evt_147,usr_000034,sess_88ab7b9077,2026-07-09 11:26:21,app_open,18,Home_Feed
evt_148,usr_000034,sess_88ab7b9077,2026-07-09 11:28:26,repeat_action,210,Feature_Usage
evt_149,usr_000034,sess_fc067fde34,2026-07-23 04:54:21,app_open,18,Home_Feed
evt_150,usr_000034,sess_fc067fde34,2026-07-23 04:57:20,repeat_action,210,Feature_Usage
evt_151,usr_000034,sess_06d1152618,2026-08-01 03:39:21,app_open,18,Home_Feed
evt_152,usr_000034,sess_06d1152618,2026-08-01 03:42:36,repeat_action,210,Feature_Usage
evt_153,usr_000035,sess_1396c8db60,2026-06-17 15:11:38,app_open,15,Splash_Screen
evt_154,usr_000035,sess_1396c8db60,2026-06-17 15:12:13,signup_initiated,40,Auth_Modal
evt_155,usr_000035,sess_1396c8db60,2026-06-17 15:13:13,signup_completed,75,Auth_Modal
evt_156,usr_000035,sess_1396c8db60,2026-06-17 15:14:11,kyc_initiated,110,Identity_Verification
evt_157,usr_000035,sess_1396c8db60,2026-06-17 15:16:24,kyc_completed,240,Identity_Verification
evt_158,usr_000035,sess_1396c8db60,2026-06-17 15:17:26,first_core_action,320,Core_Dashboard
evt_159,usr_000035,sess_47403031ab,2026-06-24 22:18:38,app_open,18,Home_Feed
evt_160,usr_000035,sess_47403031ab,2026-06-24 22:21:35,repeat_action,210,Feature_Usage
evt_161,usr_000036,sess_6997a4fc71,2026-07-09 04:47:33,app_open,15,Splash_Screen
evt_162,usr_000036,sess_6997a4fc71,2026-07-09 04:48:15,signup_initiated,40,Auth_Modal
evt_163,usr_000036,sess_6997a4fc71,2026-07-09 04:49:13,signup_completed,75,Auth_Modal
evt_164,usr_000036,sess_6997a4fc71,2026-07-09 04:49:46,kyc_initiated,110,Identity_Verification
evt_165,usr_000036,sess_6997a4fc71,2026-07-09 04:51:53,kyc_completed,240,Identity_Verification
evt_166,usr_000037,sess_7d94854cdb,2026-08-02 05:18:32,app_open,15,Splash_Screen
evt_167,usr_000038,sess_bfea930c39,2026-07-11 23:30:51,app_open,15,Splash_Screen
evt_168,usr_000038,sess_bfea930c39,2026-07-11 23:31:35,signup_initiated,40,Auth_Modal
